deceptive,hotel,polarity,source,text,clean_text
truthful,fairmont,positive,TripAdvisor,"I stayed at the Fairmont Chicago for one night - I'm a frequent business traveler and am very familiar with travel rituals. I checked in late (almost 10pm) due to flight cancellations from my home airport -- Atlanta. I took the shuttle to the airport (best option in lieu of the over priced taxis), and it was my first time staying at the hotel. Upon arrival, I immediately noticed the entrance, which appeared very welcoming and warm to me. I checked in with no problems -- and the desk person even asked if I'd prefer a king or double (reconfirming my reservation preference). I always take the king when I can, and the bed was fantastic! It was suited with great linen and these incredible down & feather pillows named Encompass made by The Pillow Factory -- I checked the tags, since I plan to buy some! I ate dinner at the hotel restaurant - Aria, which they mention they like to be considered separate from the hotel -- and YES, it does stand out all on it's own. The food is Asian fusion, and truly wonderful -- as a gourmand and life-long foodie, I appreciate great food when I taste it! The hotel service was good as well. Only drawback was the breakfast buffet at the restaurant -- seems they need to stick with their dinner theme solely. They missed the mark on relatively simply things like scrambled eggs on the buffet, which tasted a bit 'metallic'. But they made up for it by getting a special order made immediately after I passed on the buffet. I would highly recommend this hotel -- it has atmosphere and a great view (if you can get a room with one), fabulous dinner -- just pass on the breakfast buffet. 
",stay fairmont chicago one night im frequent busi travel familiar travel ritual check late almost pm due flight cancel home airport atlanta took shuttl airport best option lieu price taxi first time stay hotel upon arriv immedi notic entranc appear welcom warm check problem desk person even ask id prefer king doubl reconfirm reserv prefer alway take king bed fantast suit great linen incred feather pillow name encompass made pillow factori check tag sinc plan buy ate dinner hotel restaur aria mention like consid separ hotel ye stand food asian fusion truli wonder gourmand lifelong foodi appreci great food tast hotel servic good well drawback breakfast buffet restaur seem need stick dinner theme sole miss mark rel simpli thing like scrambl egg buffet tast bit metal made get special order made immedi pass buffet would highli recommend hotel atmospher great view get room one fabul dinner pass breakfast buffet
truthful,conrad,positive,TripAdvisor,"Ok, so first trip to chicago and I was a litlle worried about the hotel and the location, finally I decided on the CONRAD and wath a good experience i had, I booked a king deluxe room on the 6th floor, view was not amazing but that was the only coplaint i could had, room is nice, bath was all appliances and good size, good plasma tv, free internet, we asked one day for breaksfast and amazing food! so overall and for the price aroufn 220 It was a great surprise, the locating was very good a few blocks from everything and very quiet hotel 
",ok first trip chicago litll worri hotel locat final decid conrad wath good experi book king delux room th floor view amaz coplaint could room nice bath applianc good size good plasma tv free internet ask one day breaksfast amaz food overal price aroufn great surpris locat good block everyth quiet hotel
truthful,hyatt,positive,TripAdvisor,"We arrived at 10:30 am on a Friday, and they had a room ready for us by 11:30 am, mind you check in is not until 3:00pm. We got our room on Priceline for $65.00 per night and stayed 3 nights. We were upgraded - for free - to a suite. I think I was so blown away by that, that I forgot to thank them at check-in! Our room was fantastic. It also had a wet bar and a fridge. The bathroom was quite large and had a nice sized closet with many hangers. I knew from previous reviews to not touch the mini-bar. The bed and pillows were very comfortable. The room was very clean. Every employee there went out of their way to be friendly and helpful. We stayed on the 25th floor of the east tower and had a quiet room. Yes, you could hear people in the hallways, but only because they were rude and were yelling. These were not children, they were adults. I don't know why everyone complains about $48 for parking. This is Chicago and every other hotel we saw charged just as much, some without in/out privledges. We didn't use any of the restaurants or the health club. We tried to eat at the Corner Bakery but it was too crowded. Breakfast at nearby Houlihan's had a buffet for $9.99 per person. Also the grocery store behind the hotel is great. There is a 7-11 not too far away. I don't know why there are so many bad reviews on this hotel. Yes, it's a big hotel. If you don't want a busy lobby, don't stay in a 2,000 plus room hotel!! I loved the Hotel and would recommend it to anyone. Not one problem. Wasn't too busy for me. Would stay here again in a heartbeat. 
",arriv friday room readi us mind check pm got room pricelin per night stay night upgrad free suit think blown away forgot thank checkin room fantast also wet bar fridg bathroom quit larg nice size closet mani hanger knew previou review touch minibar bed pillow comfort room clean everi employe went way friendli help stay th floor east tower quiet room ye could hear peopl hallway rude yell children adult dont know everyon complain park chicago everi hotel saw charg much without inout privledg didnt use restaur health club tri eat corner bakeri crowd breakfast nearbi houlihan buffet per person also groceri store behind hotel great far away dont know mani bad review hotel ye big hotel dont want busi lobbi dont stay plu room hotel love hotel would recommend anyon one problem wasnt busi would stay heartbeat
truthful,conrad,positive,TripAdvisor,"My wife and I came to spend the weekend in downtown Chicago for shopping and we found this Conrad hotel well located close to everything downtown and of a size that doesn't make you feel lost in the Convention world. We have had this feeling when staying at larger hotels in the past. Our Suite has view on Michigan avenue with a bit of the Lake at the end. Staff was very professional, pleasant and friendly making us feel very comfortable. Internet is free n the rooms and I am making my review from there. 
",wife came spend weekend downtown chicago shop found conrad hotel well locat close everyth downtown size doesnt make feel lost convent world feel stay larger hotel past suit view michigan avenu bit lake end staff profession pleasant friendli make us feel comfort internet free n room make review
truthful,hyatt,positive,TripAdvisor,"I got a Sunday night stay for only $50 off of Priceline.com, so it would be hard to complain...but this was truly a great hotel, even if I paid double. The first impression you get when you walk through the sliding doors of the Hyatt Regency Chicago is WOW. The lobby is beautiful with a upscale mall type of look to it with an open area that has a restaurant, plenty of couches,seats etc to people watch and a lake with water fountains. You take the escalator to the concierge/directory/check in area. The hotel let me check in at 12pm (I had a 3pm check in time). I suggest you call ahead like I did so they know you are coming early.The women at the desk was friendly and when I requested a higher level floor she was more than happy to look it up and even told me 'I have a room on the 18th floor with a veiw of the river or you can go higher with no view'. I thought it was pretty nice to give me that information so that I wouldnt get stuck with a room with a view of a wall. The rooms are big (I had a doubles room) The beds were beautiful with great pillows,blankets,headboards etc. An Ipod alarm clock was a nice 21st century touch to the room. Great to plug in your ipod, listen to some music and get ready for a night out or when relaxing after a long day of touring Chicago. The view was very nice and the bathroom was spotless and had great toiletries. Another great feature is the concierge area's computers that gives you access to printing your boarding pass before you get to the airport. You simply look at the screen, click on your airline icon and following the instructions. I had my boarding passes in about a minute. Came in handy when I got to OHare and was able to skip a long line of frustrated passengers. I was only in the hotel for 1 day, but it was by far one of the better hotel experiences I have had and I travel alot. It is a business hotel, but definitely a great choice for families and couples. Definitely would stay here again when Im passing through Chicago. 
",got sunday night stay pricelinecom would hard complainbut truli great hotel even paid doubl first impress get walk slide door hyatt regenc chicago wow lobbi beauti upscal mall type look open area restaur plenti couchesseat etc peopl watch lake water fountain take escal conciergedirectorycheck area hotel let check pm pm check time suggest call ahead like know come earlyth women desk friendli request higher level floor happi look even told room th floor veiw river go higher view thought pretti nice give inform wouldnt get stuck room view wall room big doubl room bed beauti great pillowsblanketsheadboard etc ipod alarm clock nice st centuri touch room great plug ipod listen music get readi night relax long day tour chicago view nice bathroom spotless great toiletri anoth great featur concierg area comput give access print board pass get airport simpli look screen click airlin icon follow instruct board pass minut came handi got ohar abl skip long line frustrat passeng hotel day far one better hotel experi travel alot busi hotel definit great choic famili coupl definit would stay im pass chicago
truthful,conrad,positive,TripAdvisor,"This is a superb hotel. The rooms are huge, including a luxurious bathroom. It is clean and service is first rate. Breakfast was excellent (and complimentary for Hilton Honors members). Hotel is in a good location, and is connected to a mall, which I imagine would be a great asset in the Chicago winter. Next time I go to Chicago, I will stay here for sure. 
",superb hotel room huge includ luxuri bathroom clean servic first rate breakfast excel complimentari hilton honor member hotel good locat connect mall imagin would great asset chicago winter next time go chicago stay sure
truthful,conrad,positive,TripAdvisor,"We stayed at the Conrad for 2 nights for a friends reunion. The room was clean and new feeling, nice city view, free bottled water in room upon arrival. Check in was a breeze, and our room was ready even though we were several hours early. All staff was friendly and helpful, excellent breakfast. 
",stay conrad night friend reunion room clean new feel nice citi view free bottl water room upon arriv check breez room readi even though sever hour earli staff friendli help excel breakfast
truthful,conrad,positive,TripAdvisor,"The Conrad Hotel is a beautiful hotel. Our room was perfect and beautiful in every way. I was very impressed (and I am hard to please and have high standards). It was so clean, aesthetically pleasing, up to date, just gorgeous! I would definitely stay there again. I loved it. The location is superb too, attached to Nordstrom and Northbridge mall. Can't wait to go back! 
",conrad hotel beauti hotel room perfect beauti everi way impress hard pleas high standard clean aesthet pleas date gorgeou would definit stay love locat superb attach nordstrom northbridg mall cant wait go back
truthful,conrad,positive,TripAdvisor,"My boyfriend and I decided to stay at the Conrad Chicago for our anniversary. The second we walked in, we were immediately won over by the look and feel of the room. White luxurous bedding on the King bed, plasma t.v./ subroofer/ surround sound speakers (my boyfriend was more impressed than me, as I reminded him that we didn't come to Chicago for the hotel room) very large bathroom w/ tub and separate stand-in shower, granite countertops, his/ her robes and slippers. The view wasn't great, but we were on the 6th floor and not really high enough to see anything but the side of the building next to us. Not a large room by any means, but again . . . we didn't go to the city for the hotel room. It was the prefect size for the amount of time we were actually in the room. We got a great rate on it ($140 at hotels.com) but I think the going rate is usually closer to mid $200's. I've stayed in quite a few hotels in the downtown area and none have ever impressed me more than this one. We will definitely be staying there again on our next trip into the city. 
",boyfriend decid stay conrad chicago anniversari second walk immedi look feel room white luxur bed king bed plasma tv subroof surround sound speaker boyfriend impress remind didnt come chicago hotel room larg bathroom w tub separ standin shower granit countertop robe slipper view wasnt great th floor realli high enough see anyth side build next us larg room mean didnt go citi hotel room prefect size amount time actual room got great rate hotelscom think go rate usual closer mid ive stay quit hotel downtown area none ever impress one definit stay next trip citi
truthful,omni,positive,TripAdvisor,"Got a good deal on a weekend pacage in this Hotel and have to say it is the nicest stay I have had in more than a dozen business trips to Chicago. All rooms are Suites, staff is friendly and professional, Restaurant is out of this world and all the extras like a great health club, turn down service, complimentary morning beverages delivered to room and on and on. Room was very clean and every need was attended to without feeling intruded on. Will definately stay here again. 
",got good deal weekend pacag hotel say nicest stay dozen busi trip chicago room suit staff friendli profession restaur world extra like great health club turn servic complimentari morn beverag deliv room room clean everi need attend without feel intrud defin stay
truthful,fairmont,positive,TripAdvisor,"I stayed at the Fairmont for a few nights and found the whole experience excellent. I was given a very large room with great views of the city; the breakfast was extremely good; and the location was as central as I could have wished for. The pool was not large but felt luxurious and was great for early morning swims. In the evening I spent some time in the hotel bar with friends and that was excellent too. Highly recommended as a base for exploring Chicago. 
",stay fairmont night found whole experi excel given larg room great view citi breakfast extrem good locat central could wish pool larg felt luxuri great earli morn swim even spent time hotel bar friend excel highli recommend base explor chicago
truthful,fairmont,positive,TripAdvisor,"We went to Chicago to see an exhibit at the Art Institute and selected the Fairmont because it was so close. Although the lobby is still being renovated, our experience at the hotel was uniformly positive. The room was nicely sized and newly remodeled and immaculate. The only glitch involved getting the room coffee replenished. The maid does not do that, and by bedtime on the first night, we still didn't have coffee. We called the front desk and they immediately delivered a fresh supply. The restaurant is a little underwhelming, but with so many other places to go within a very few blocks, we probably wouldn't have eaten there any more than we did. After having stayed in close to a dozen different Chicago hotels, this may be the hotel we return to whenever we return. 
",went chicago see exhibit art institut select fairmont close although lobbi still renov experi hotel uniformli posit room nice size newli remodel immacul glitch involv get room coffe replenish maid bedtim first night still didnt coffe call front desk immedi deliv fresh suppli restaur littl underwhelm mani place go within block probabl wouldnt eaten stay close dozen differ chicago hotel may hotel return whenev return
truthful,fairmont,positive,TripAdvisor,"I actually booked this reservation with the hotel over the phone and got a great rate -- much lower than the usual price! It was a lovely hotel, beautifully appointed, walking distance from the places we wanted to go. We would highly recommend the Fairmont. 
",actual book reserv hotel phone got great rate much lower usual price love hotel beauti appoint walk distanc place want go would highli recommend fairmont
truthful,hyatt,positive,TripAdvisor,"Named my price on priceline. $50.00 Bucks. Hotel room was great. Clean, Clean and new. Fresh crisp sheets, comfortable bed, flat screen TV, clean carpet, nice bath, etc. Short distance to food and sightseeing. I highly recommend this property. Be prepared to pay over $40.00 per night to park. Hey, Its a hyatt. They also charge $5.00 for a bottle of water that is normally a buck. For a total of $100.00 nightly stay in Chicago this place is it just don't drink the bottled water. Happy Travels 
",name price pricelin buck hotel room great clean clean new fresh crisp sheet comfort bed flat screen tv clean carpet nice bath etc short distanc food sightse highli recommend properti prepar pay per night park hey hyatt also charg bottl water normal buck total nightli stay chicago place dont drink bottl water happi travel
truthful,hyatt,positive,TripAdvisor,"Check-in was fast, the room was perfect, and there were no problems. This is a standard big-city business hotel with every amenity imaginable. I got a very good deal for a one-night stay, but they made the money back from the exorbitant parking rate and the absurd access fee for wireless internet. If you are bored of the routine hotel fare, walk two blocks to Gourmet Pantry (155 N. Michigan) for a refreshing change. 
",checkin fast room perfect problem standard bigciti busi hotel everi amen imagin got good deal onenight stay made money back exorbit park rate absurd access fee wireless internet bore routin hotel fare walk two block gourmet pantri n michigan refresh chang
truthful,conrad,positive,TripAdvisor,"Arrived on 06/04/05, greeted by friendly doorman, and zipped up to the 5th Floor Lobby. Very open lobby area with friendly reception staff. Room was on the 12th Floor and very nice. Everything was in order and very clean! The king size bed was nice and each night I had a restful sleep. Bathroom was large with separate glass shower stall. The room was furnished with everything I needed including internet hook-up access. Also, you can walk thru on the 5th Fl to the Westfield North Bridge Shopping Mall, where you will enjoy Nordstrom and other stores. Of course, you're steps from Michigan Ave. too. The central location of the hotel was great, as I could walk to most places. The CTA Subway stop (Grand Ave. on Red Line) was an easy 2 block walk. I will stay here again on my next trip to Chicago! 
",arriv greet friendli doorman zip th floor lobbi open lobbi area friendli recept staff room th floor nice everyth order clean king size bed nice night rest sleep bathroom larg separ glass shower stall room furnish everyth need includ internet hookup access also walk thru th fl westfield north bridg shop mall enjoy nordstrom store cours your step michigan ave central locat hotel great could walk place cta subway stop grand ave red line easi block walk stay next trip chicago
truthful,fairmont,positive,TripAdvisor,"Simply a nice place to stay... I had a great deal for the room, and was impressed with the quality. Hotel staff was very helpful; they were able to let me check out and helped me print boarding passes. Negative: It is frustrating that nowadays you do not have free internet in most hotels and it's the same here; you have to pay for the internet. Negative: Loud on the phone you may hear your neighbors on the phone, or them shower. 
",simpli nice place stay great deal room impress qualiti hotel staff help abl let check help print board pass neg frustrat nowaday free internet hotel pay internet neg loud phone may hear neighbor phone shower
truthful,conrad,positive,TripAdvisor,"We stayed at the Conrad for only one evening but it was such an amazing room we would have liked to stay longer! We were on the newly renovated 9th floor and the room was gorgeous and super clean! There was a flat screen, bose sound system and even an Ihome for our Ipod. Wireless was free and they bring you a free bottle of water at turn down. Everyone was very helpful and so friendly. We can't wait to go back again! 
",stay conrad one even amaz room would like stay longer newli renov th floor room gorgeou super clean flat screen bose sound system even ihom ipod wireless free bring free bottl water turn everyon help friendli cant wait go back
truthful,conrad,positive,TripAdvisor,"We spent a week in this hotel and were very pleased with the experience. As described in previous reviews. the room was very comfortable with the huge televison and bathroom being particularly outstanding. Service was excellent overall (I especially liked the bottle of water at my bedside with the turn down service). The door and bellmen/women were particularly pleasant and helpful and the concierge was friendly and knowledgeable. We had completely satisfactory (though overpriced) drinks in the bar but didn't eat at the restaurant. The health club was fine and the equipment was well maintained. While there were only three treadmills and two elipitical steppers, I never had to wait for a machine although it might be a different story in the dead of a Chicago winter! One minor quibble--I like to have coffee first thing in the morning and there was no in-room coffee maker. The restaurant offered free coffee 'to-go' but only before eight AM. This is a very, very comfortable, attractive hotel in a wonderful location. Chicago is an expensive city but we felt that we got a reasonable value for our money. 
",spent week hotel pleas experi describ previou review room comfort huge televison bathroom particularli outstand servic excel overal especi like bottl water bedsid turn servic door bellmenwomen particularli pleasant help concierg friendli knowledg complet satisfactori though overpr drink bar didnt eat restaur health club fine equip well maintain three treadmil two elipit stepper never wait machin although might differ stori dead chicago winter one minor quibblei like coffe first thing morn inroom coffe maker restaur offer free coffe togo eight comfort attract hotel wonder locat chicago expens citi felt got reason valu money
truthful,hyatt,positive,TripAdvisor,"I booked a room at the Hyatt through Priceline and was able to get a rate of $45/night! Can't go wrong with that! The rooms are nice, spacious, clean and contain all the amenties a traveler would need. I have to say that I have fallen in love with the Hyatt chain due to their customer service. I have stayed at a few of their hotels in different cities and the staff has always been extremely friendly, which you don't often see at other hotels. I used the self-check in machine, and the customer service person checked in on me to make sure everything was going smoothly. Then, when she saw that my room was not on a high level, she offered to have it changed for me so that I could have a better view. I would highly recommend this hotel! 
",book room hyatt pricelin abl get rate night cant go wrong room nice spaciou clean contain amenti travel would need say fallen love hyatt chain due custom servic stay hotel differ citi staff alway extrem friendli dont often see hotel use selfcheck machin custom servic person check make sure everyth go smoothli saw room high level offer chang could better view would highli recommend hotel
truthful,omni,positive,TripAdvisor,"This hotel is the perfect location for downtown Chicago shopping. The only thing is the pool is extremely small - it is indoors, but looks much larger on the website. 
",hotel perfect locat downtown chicago shop thing pool extrem small indoor look much larger websit
truthful,omni,positive,TripAdvisor,"The Omni is in a fabulous location on Michigan Avenue. Within just blocks are all types of stores, including Saks, Nordstroms, H&M, Filenes Basement, Macys, La Perla, Apple, Bloomingdates.....I could go on and on! The room itself was fabulous. Comfortable, nice big flat screen tvs, nice sized bathroom. They charge for Wi-Fi, but we found if we clicked yes on joining their guest program we could then go from the sign-on screen right to our email without actually completing the registration. We got this hotel for $214/night through Priceline and felt it was a terrific deal! 
",omni fabul locat michigan avenu within block type store includ sak nordstrom hm filen basement maci la perla appl bloomingdatesi could go room fabul comfort nice big flat screen tv nice size bathroom charg wifi found click ye join guest program could go signon screen right email without actual complet registr got hotel night pricelin felt terrif deal
truthful,hyatt,positive,TripAdvisor,"Stayed in a Junior Suite which was beautiful and spacious. It had the largest flat screen tv I have ever seen in a hotel (great excuse to catch up on some movies) The breakfast buffet was great and was served in the hotels huge atrium which was nice. The service was top notch. Stayed in a lower floor in the East tower which was great as there was no waits for an elevator and they were always empty. The Shed aquarium was a complete waste of time and money but the Field musium was amazing. Chicago remains tied with London as my favourite city. 
",stay junior suit beauti spaciou largest flat screen tv ever seen hotel great excus catch movi breakfast buffet great serv hotel huge atrium nice servic top notch stay lower floor east tower great wait elev alway empti shed aquarium complet wast time money field musium amaz chicago remain tie london favourit citi
truthful,omni,positive,TripAdvisor,"I'll keep it short. My wife, daughter and I stayed at this hotel for 3 nights. We go on several vacations a year and this was a great hotel. Location: It is located in the center of the Magnificent Mile (Michigan Ave.), so it is near or easily accessible to everything you might want to do. Hotel: The hotel itself is very clean, as were the rooms. Maid service was excellent, including 2x daily cleaning and turndown service (I think they missed a night). Service: Every staff member we encountered was super friendly and kind. They always have someone at the lobby door greeting you with a smile. Every night we had milk and cookies waiting in our room (sometimes chocolates on our pillows). They always pushed the elevator button for you if they were near it. There was no shortage of people to ask things. My only conplaint was that the congierge was tough to get. They shouuld have more than one, or longer hours. Other: We had breakfast in the 676 Restaurant and it was very good, and well attended, appointed. They even carried my wifes plate to the table from the buffet. The pool was a nice addition and a hit with the kids. It was nice to go for a swim after a long day of walking. Pool and changing areas were spotless. Room: Clean, sunny and spacious. Probably over 400 sq. ft. - 2 TVs, couch, desk, chairs - all in perfect shape. The windows open for some fresh air. Pillows were pretty comfortable. With all aspects considered, I think this was an unbeatable value! I would not hesitate to stay again or recommend it to a friend. I truly have nothing negative to say about the hotel. It was a wonderful stay and we will miss being there. Omni has hit the right formula to make a guest feel like a welcomed person as opposed to just a nuisance or a number. The airlines have cornered the market on that. 
",ill keep short wife daughter stay hotel night go sever vacat year great hotel locat locat center magnific mile michigan ave near easili access everyth might want hotel hotel clean room maid servic excel includ x daili clean turndown servic think miss night servic everi staff member encount super friendli kind alway someon lobbi door greet smile everi night milk cooki wait room sometim chocol pillow alway push elev button near shortag peopl ask thing conplaint congierg tough get shouuld one longer hour breakfast restaur good well attend appoint even carri wife plate tabl buffet pool nice addit hit kid nice go swim long day walk pool chang area spotless room clean sunni spaciou probabl sq ft tv couch desk chair perfect shape window open fresh air pillow pretti comfort aspect consid think unbeat valu would hesit stay recommend friend truli noth neg say hotel wonder stay miss omni hit right formula make guest feel like welcom person oppos nuisanc number airlin corner market
truthful,fairmont,positive,TripAdvisor,"My husband and I were in the Fairmont Chicago recently for a conference. We stayed in a spacious suite. All amenities appeared recently updated and in excellent shape. The bed was very comfortable. Views were great. I love their products in the bathroom and used them in the pristine tub two out of three nights. The room was so quiet, it was very relaxing. We ate in the restaurant downstairs (Aria) and although pricey, it was excellent. The staff were consistently attentive and responsive. It is evident that everyone is very well-trained. I would love to stay here again. 
",husband fairmont chicago recent confer stay spaciou suit amen appear recent updat excel shape bed comfort view great love product bathroom use pristin tub two three night room quiet relax ate restaur downstair aria although pricey excel staff consist attent respons evid everyon welltrain would love stay
